num_threads;method;num_iterations;elapsed_time
1;single;100;0.04040000021632295102
2;static;100;0.19219999967390322126
2;dynamic;100;0.02360000007683993317
2;guided;100;0.02210000002378365025
3;static;100;0.09199999976772232912
3;dynamic;100;0.01670000028752838261
3;guided;100;0.01650000012887176126
4;static;100;0.09320000026491470635
4;dynamic;100;0.01380000003337045200
4;guided;100;0.01299999985349131748
5;static;100;0.08419999994657700881
5;dynamic;100;0.01180000026579364203
5;guided;100;0.01130000009652576409
6;static;100;0.07890000006227637641
6;dynamic;100;0.01130000009652576409
6;guided;100;0.01019999990603537299
7;static;100;0.07670000013604294509
7;dynamic;100;0.01039999960994464345
7;guided;100;0.00950000003285822459
8;static;100;5.08040000022447202355
8;dynamic;100;5.02340000002732267603
8;guided;100;4.58879999996497645043
9;static;100;0.45289999980013817549
9;dynamic;100;0.46259999999165302143
9;guided;100;0.42549999989205389284
10;static;100;0.50390000023980974220
10;dynamic;100;0.39579999975103419274
10;guided;100;0.44950000028620706871
11;static;100;0.61040000036882702261
11;dynamic;100;0.48779999997350387275
11;guided;100;0.40409999974144739099
12;static;100;0.56130000029952498153
12;dynamic;100;0.51209999992352095433
12;guided;100;0.49509999962538131513
13;static;100;0.90030000001206644811
13;dynamic;100;0.69399999983943416737
13;guided;100;0.60540000004039029591
14;static;100;0.92990000030113151297
14;dynamic;100;0.84250000008978531696
14;guided;100;0.52679999998872517608
15;static;100;0.66439999955036910251
15;dynamic;100;0.52079999977650004439
15;guided;100;0.57050000032177194953
16;static;100;0.82740000016201520339
16;dynamic;100;0.72479999971619690768
16;guided;100;0.58410000019648578018
1;single;10000;3.50349999962418223731
2;static;10000;2.08989999964614980854
2;dynamic;10000;2.28979999974399106577
2;guided;10000;1.80120000004535540938
3;static;10000;1.45399999973960802890
3;dynamic;10000;1.31559999999808496796
3;guided;10000;1.16939999998066923581
4;static;10000;1.10330000006797490641
4;dynamic;10000;0.93680000009044306353
4;guided;10000;0.98730000036084675230
5;static;10000;1.01450000011027441360
5;dynamic;10000;0.79460000006292830221
5;guided;10000;0.85420000004887697287
6;static;10000;0.80660000003263121471
6;dynamic;10000;0.67750000016530975699
6;guided;10000;8.01200000023527536541
7;static;10000;5.97620000007736962289
7;dynamic;10000;0.92510000013135140762
7;guided;10000;1.76719999990382348187
8;static;10000;2.42759999991903896444
8;dynamic;10000;1.86510000003181630746
8;guided;10000;0.61140000025261542760
9;static;10000;1.09780000002501765266
9;dynamic;10000;0.81999999974868842401
9;guided;10000;1.04600000031496165320
10;static;10000;1.18659999998271814547
10;dynamic;10000;0.74999999969804775901
10;guided;10000;1.47199999992153607309
