num_threads;method;n_rows;n_cols;elapsed_time
1;single;10;10;0.00090000003183376975
2;critical_section;10;10;1.46730000005845795386
2;reduction;10;10;0.00180000006366753951
3;critical_section;10;10;0.00139999997372797225
3;reduction;10;10;0.00099999988378840499
4;critical_section;10;10;0.00099999988378840499
4;reduction;10;10;0.00109999996311671566
5;critical_section;10;10;0.00090000003183376975
5;reduction;10;10;0.00110000019049039111
6;critical_section;10;10;0.00090000003183376975
6;reduction;10;10;0.00109999996311671566
7;critical_section;10;10;0.00090000003183376975
7;reduction;10;10;0.00109999996311671566
8;critical_section;10;10;0.00100000011116208043
8;reduction;10;10;0.00100000011116208043
9;critical_section;10;10;0.00090000003183376975
9;reduction;10;10;0.00109999996311671566
10;critical_section;10;10;0.00090000003183376975
10;reduction;10;10;0.00109999996311671566
11;critical_section;10;10;0.00099999988378840499
11;reduction;10;10;0.00099999988378840499
12;critical_section;10;10;0.00099999988378840499
12;reduction;10;10;0.00100000011116208043
13;critical_section;10;10;0.00090000003183376975
13;reduction;10;10;0.00099999988378840499
14;critical_section;10;10;0.00099999988378840499
14;reduction;10;10;0.00099999988378840499
15;critical_section;10;10;0.00090000003183376975
15;reduction;10;10;0.00099999988378840499
16;critical_section;10;10;0.00090000003183376975
16;reduction;10;10;0.00109999996311671566
17;critical_section;10;10;0.00100000011116208043
17;reduction;10;10;0.00109999996311671566
18;critical_section;10;10;0.00099999988378840499
18;reduction;10;10;0.00109999996311671566
19;critical_section;10;10;0.00090000003183376975
19;reduction;10;10;0.00110000019049039111
20;critical_section;10;10;0.00090000003183376975
20;reduction;10;10;0.00110000019049039111
21;critical_section;10;10;0.00090000003183376975
21;reduction;10;10;0.00109999996311671566
22;critical_section;10;10;0.00090000003183376975
22;reduction;10;10;0.00100000011116208043
23;critical_section;10;10;0.00079999995250545908
23;reduction;10;10;0.00100000011116208043
24;critical_section;10;10;0.00090000003183376975
24;reduction;10;10;0.00109999996311671566
25;critical_section;10;10;0.00090000003183376975
25;reduction;10;10;0.00099999988378840499
26;critical_section;10;10;0.00090000003183376975
26;reduction;10;10;0.00109999996311671566
27;critical_section;10;10;0.00090000003183376975
27;reduction;10;10;0.00109999996311671566
28;critical_section;10;10;0.00090000003183376975
28;reduction;10;10;0.00109999996311671566
29;critical_section;10;10;0.00090000003183376975
29;reduction;10;10;0.00109999996311671566
30;critical_section;10;10;0.00090000003183376975
30;reduction;10;10;0.00100000011116208043
31;critical_section;10;10;0.00079999995250545908
31;reduction;10;10;0.00100000011116208043
32;critical_section;10;10;0.00090000003183376975
32;reduction;10;10;0.00109999996311671566
1;single;100;100;0.05490000012287055142
2;critical_section;100;100;0.01059999999597494025
2;reduction;100;100;0.01040000006469199434
3;critical_section;100;100;0.01020000013340904843
3;reduction;100;100;0.01019999990603537299
4;critical_section;100;100;0.01010000005408073775
4;reduction;100;100;0.01010000005408073775
5;critical_section;100;100;0.01010000005408073775
5;reduction;100;100;0.01009999982670706231
6;critical_section;100;100;0.00999999997475242708
6;reduction;100;100;0.01010000005408073775
7;critical_section;100;100;0.01010000005408073775
7;reduction;100;100;0.01010000005408073775
8;critical_section;100;100;0.01010000005408073775
8;reduction;100;100;0.01010000005408073775
9;critical_section;100;100;0.00999999997475242708
9;reduction;100;100;0.00999999997475242708
10;critical_section;100;100;0.01010000005408073775
10;reduction;100;100;0.01009999982670706231
11;critical_section;100;100;0.01009999982670706231
11;reduction;100;100;0.01010000005408073775
12;critical_section;100;100;0.01010000005408073775
12;reduction;100;100;0.01009999982670706231
13;critical_section;100;100;0.00999999997475242708
13;reduction;100;100;0.01010000005408073775
14;critical_section;100;100;0.00999999997475242708
14;reduction;100;100;0.01020000013340904843
15;critical_section;100;100;0.01000000020212610252
15;reduction;100;100;0.01010000005408073775
16;critical_section;100;100;0.01000000020212610252
16;reduction;100;100;0.00999999997475242708
17;critical_section;100;100;0.00999999997475242708
17;reduction;100;100;0.00990000012279779185
18;critical_section;100;100;0.01010000005408073775
18;reduction;100;100;0.00999999997475242708
19;critical_section;100;100;0.01010000005408073775
19;reduction;100;100;0.01010000005408073775
20;critical_section;100;100;0.00999999997475242708
20;reduction;100;100;0.00999999997475242708
21;critical_section;100;100;0.00999999997475242708
21;reduction;100;100;0.00999999997475242708
22;critical_section;100;100;0.00999999997475242708
22;reduction;100;100;0.01010000005408073775
23;critical_section;100;100;0.00999999997475242708
23;reduction;100;100;0.01010000005408073775
24;critical_section;100;100;0.01010000005408073775
24;reduction;100;100;0.00999999997475242708
25;critical_section;100;100;0.00999999997475242708
25;reduction;100;100;0.01000000020212610252
26;critical_section;100;100;0.00999999997475242708
26;reduction;100;100;0.01000000020212610252
27;critical_section;100;100;0.01010000005408073775
27;reduction;100;100;0.01010000005408073775
28;critical_section;100;100;0.01010000005408073775
28;reduction;100;100;0.01010000005408073775
29;critical_section;100;100;0.01000000020212610252
29;reduction;100;100;0.01010000005408073775
30;critical_section;100;100;0.01010000005408073775
30;reduction;100;100;0.01010000005408073775
31;critical_section;100;100;0.01010000005408073775
31;reduction;100;100;0.01009999982670706231
32;critical_section;100;100;0.01010000005408073775
32;reduction;100;100;0.01010000005408073775
1;single;1000;1000;4.14819999991777876858
2;critical_section;1000;1000;1.01990000007390335668
2;reduction;1000;1000;1.01310000013654644135
3;critical_section;1000;1000;0.92250000011517840903
3;reduction;1000;1000;0.88889999983621237334
4;critical_section;1000;1000;0.88879999998425773811
4;reduction;1000;1000;0.88819999996303522494
5;critical_section;1000;1000;1.02800000013303360902
5;reduction;1000;1000;1.07800000000679574441
6;critical_section;1000;1000;0.88510000000496802386
6;reduction;1000;1000;0.88479999999435676727
7;critical_section;1000;1000;1.82399999994231620803
7;reduction;1000;1000;3.53650000010929943528
8;critical_section;1000;1000;0.98309999998491548467
8;reduction;1000;1000;0.88950000008480856195
9;critical_section;1000;1000;2.22129999997378035914
9;reduction;1000;1000;0.93379999998433049768
10;critical_section;1000;1000;0.90639999984887253959
10;reduction;1000;1000;0.91329999986555776559
11;critical_section;1000;1000;1.02210000000013678800
11;reduction;1000;1000;1.01900000004206958693
12;critical_section;1000;1000;0.97950000008495408110
12;reduction;1000;1000;0.88819999996303522494
13;critical_section;1000;1000;1.37530000006336194929
13;reduction;1000;1000;1.34140000000115833245
14;critical_section;1000;1000;0.87929999995139951352
14;reduction;1000;1000;0.88459999983570014592
15;critical_section;1000;1000;2.28829999991830845829
15;reduction;1000;1000;4.34319999999388528522
16;critical_section;1000;1000;3.07110000017019046936
16;reduction;1000;1000;1.35980000004565226845
17;critical_section;1000;1000;1.79460000003928143997
17;reduction;1000;1000;1.05780000012600794435
18;critical_section;1000;1000;0.89060000004792527761
18;reduction;1000;1000;2.81600000016624107957
19;critical_section;1000;1000;3.28890000014325778466
19;reduction;1000;1000;3.43140000018138380256
20;critical_section;1000;1000;0.93960000003789900802
20;reduction;1000;1000;1.20710000010149087757
21;critical_section;1000;1000;0.89589999993222591002
21;reduction;1000;1000;0.89209999987360788509
