num_threads;method;n_rows;n_cols;elapsed_time
1;single;10;10;0.00110000109998509288
2;reduction;10;10;0.05199999941396526992
2;nested;10;10;0.01909999991767108440
3;reduction;10;10;0.04989999979443382472
3;nested;10;10;0.01260000135516747832
4;reduction;10;10;0.07039999945845920593
4;nested;10;10;0.01309999970544595271
5;reduction;10;10;0.03920000017387792468
5;nested;10;10;0.01410000004398170859
6;reduction;10;10;0.07239999831654131413
6;nested;10;10;0.00980000004346948117
7;reduction;10;10;0.05550000059884041548
7;nested;10;10;0.01290000000153668225
8;reduction;10;10;0.45379999937722459435
8;nested;10;10;0.01030000021273735911
9;reduction;10;10;0.08789999992586672306
9;nested;10;10;0.28559999918797984719
10;reduction;10;10;0.47079999967536423355
10;nested;10;10;0.27330000011716037989
11;reduction;10;10;0.35600000046542845666
11;nested;10;10;0.34609999966050963849
12;reduction;10;10;0.34809999851859174669
12;nested;10;10;0.39350000042759347707
13;reduction;10;10;0.29460000041581224650
13;nested;10;10;0.13819999912811908871
14;reduction;10;10;0.29449999965436290950
14;nested;10;10;0.31230000058712903410
15;reduction;10;10;0.34330000016780104488
15;nested;10;10;0.33509999957459513098
16;reduction;10;10;0.39430000106221996248
16;nested;10;10;0.33240000084333587438
17;reduction;10;10;0.52859999959764536470
17;nested;10;10;0.37829999928362667561
18;reduction;10;10;0.40409999928670004010
18;nested;10;10;0.35120000029564835131
19;reduction;10;10;0.41320000127598177642
19;nested;10;10;0.36019999970449134707
20;reduction;10;10;0.44709999929182231426
20;nested;10;10;0.38820000008854549378
21;reduction;10;10;0.45940000018163118511
21;nested;10;10;0.40690000059839803725
22;reduction;10;10;0.47309999899880494922
22;nested;10;10;0.43419999929028563201
23;reduction;10;10;0.53500000103667844087
23;nested;10;10;0.24959999973361846060
24;reduction;10;10;0.53040000057080760598
24;nested;10;10;0.47819999963394366205
25;reduction;10;10;0.52870000035909470171
25;nested;10;10;0.47580000136804301292
26;reduction;10;10;0.55940000129339750856
26;nested;10;10;0.50840000039897859097
27;reduction;10;10;0.58129999888478778303
27;nested;10;10;0.62159999833966139704
