method;num_threads;length;elapsed_time
builtin;2;100;0.036899999940943
critical;2;100;0.001099999735743
atomics;2;100;0.000699999873177
locks;2;100;0.000799999725132
builtin;3;100;0.029100000119797
critical;3;100;0.001100000190490
atomics;3;100;0.000600000021223
locks;3;100;0.000999999883788
builtin;4;100;0.036699999782286
critical;4;100;0.001100000190490
atomics;4;100;0.000900000031834
locks;4;100;0.001099999735743
builtin;5;100;0.043200000163779
critical;5;100;0.001400000201102
atomics;5;100;0.000999999883788
locks;5;100;0.001400000201102
builtin;6;100;0.044299999899522
critical;6;100;0.001400000201102
atomics;6;100;0.001099999735743
locks;6;100;0.001499999598309
builtin;7;100;0.052500000037980
critical;7;100;0.001799999608920
atomics;7;100;0.000999999883788
locks;7;100;0.001699999756966
builtin;8;100;0.032900000405789
critical;8;100;0.001599999905011
atomics;8;100;0.000999999883788
locks;8;100;0.001800000063668
builtin;9;100;0.112899999749061
critical;9;100;0.200899999981630
atomics;9;100;0.213499999972555
locks;9;100;0.195300000086718
builtin;10;100;0.234999999975116
critical;10;100;0.195799999801238
atomics;10;100;0.223200000164070
locks;10;100;0.195600000097329
builtin;11;100;0.245000000177242
critical;11;100;0.211800000215590
atomics;11;100;0.218300000142335
locks;11;100;0.256499999977677
builtin;12;100;0.312299999677634
critical;12;100;0.129500000184635
atomics;12;100;0.246599999627506
locks;12;100;0.234499999805848
builtin;13;100;0.274300000000949
critical;13;100;0.249700000040320
atomics;13;100;0.252699999691686
locks;13;100;0.239899999996851
builtin;14;100;0.291299999844341
critical;14;100;0.286999999843829
atomics;14;100;0.271399999746791
locks;14;100;0.435500000094180
builtin;15;100;0.308299999687733
critical;15;100;0.289500000235421
atomics;15;100;0.334899999870686
locks;15;100;0.307599999814556
builtin;2;10000;0.179299999672367
critical;2;10000;0.012299999980314
atomics;2;10000;0.011900000117748
locks;2;10000;0.010599999768601
builtin;3;10000;0.040199999602919
critical;3;10000;0.007699999969191
atomics;3;10000;0.007399999958579
locks;3;10000;0.007499999810534
builtin;4;10000;0.097699999969336
critical;4;10000;0.007899999673100
atomics;4;10000;0.007099999947968
locks;4;10000;0.007199999799923
builtin;5;10000;0.037100000099599
critical;5;10000;0.006399999620044
atomics;5;10000;0.005800000053569
locks;5;10000;0.005700000201614
builtin;6;10000;0.031700000363344
critical;6;10000;0.005599999894912
atomics;6;10000;0.005000000328437
locks;6;10000;0.005200000032346
builtin;7;10000;0.030400000014197
critical;7;10000;0.005400000191003
atomics;7;10000;0.004500000159169
locks;7;10000;0.005200000032346
builtin;8;10000;0.036200000067765
critical;8;10000;0.004800000169780
atomics;8;10000;0.004200000148558
locks;8;10000;0.004700000317825
builtin;9;10000;0.097099999948114
critical;9;10000;0.172600000041712
atomics;9;10000;0.171399999999267
locks;9;10000;0.176000000010390
builtin;10;10000;0.217799999973067
critical;10;10000;0.107899999875372
atomics;10;10000;0.192900000001828
locks;10;10000;0.194599999758793
builtin;11;10000;0.229199999921548
critical;11;10000;0.213400000120600
atomics;11;10000;0.214500000311091
locks;11;10000;0.213000000258035
builtin;12;10000;0.257600000168168
critical;12;10000;0.237199999901350
atomics;12;10000;0.233899999784626
locks;12;10000;0.248199999987264
builtin;13;10000;0.297900000077789
critical;13;10000;0.270000000000437
atomics;13;10000;0.254199999744742
locks;13;10000;0.250800000230811
builtin;14;10000;0.361099999736325
critical;14;10000;0.271300000349584
atomics;14;10000;0.273799999831681
locks;14;10000;0.298200000088400
builtin;15;10000;0.336999999944965
critical;15;10000;0.284700000065641
atomics;15;10000;0.304200000300625
locks;15;10000;0.301500000205124
builtin;2;1000000;1.084499999706168
critical;2;1000000;1.012100000025384
atomics;2;1000000;0.999500000034459
locks;2;1000000;0.998699999854580
builtin;3;1000000;0.639300000329968
critical;3;1000000;0.660000000152650
atomics;3;1000000;0.650999999834312
locks;3;1000000;0.667199999952572
builtin;4;1000000;0.469099999918399
critical;4;1000000;0.487899999825459
atomics;4;1000000;0.498299999890151
locks;4;1000000;0.493399999868416
builtin;5;1000000;0.604299999849900
critical;5;1000000;0.572599999941303
atomics;5;1000000;0.555800000256568
locks;5;1000000;0.507300000208488
builtin;6;1000000;0.512999999955355
critical;6;1000000;0.475499999993190
atomics;6;1000000;0.445300000137649
locks;6;1000000;0.437799999872368
builtin;7;1000000;0.443700000232639
critical;7;1000000;0.408500000048662
atomics;7;1000000;0.573699999677046
