num_threads;method;array_size;elapsed_time
1;single;100;0.00039999986256589182
2;critical_section;100;0.04510000007940107025
2;reduction;100;0.00120000004244502634
3;critical_section;100;0.04760000001624575816
3;reduction;100;0.00089999980446009431
4;critical_section;100;0.03779999997277627699
4;reduction;100;0.00090000003183376975
5;critical_section;100;0.04200000012133386917
5;reduction;100;0.00099999988378840499
6;critical_section;100;0.03590000005715410225
6;reduction;100;0.00120000004244502634
7;critical_section;100;0.03760000004149333108
7;reduction;100;0.00130000012177333701
8;critical_section;100;0.48749999996289261617
8;reduction;100;0.00120000004244502634
9;critical_section;100;0.10499999984858732205
9;reduction;100;0.22319999993669625837
10;critical_section;100;0.25990000017372949515
10;reduction;100;0.21890000016355770640
11;critical_section;100;0.25040000014087127056
11;reduction;100;0.22130000002107408363
12;critical_section;100;0.30790000005254114512
12;reduction;100;0.23390000001199950930
13;critical_section;100;0.28999999994994141161
13;reduction;100;0.28220000012879609130
14;critical_section;100;0.36189999991620425135
14;reduction;100;0.31399999988934723660
15;critical_section;100;0.33589999998184794094
15;reduction;100;0.28629999997065169737
16;critical_section;100;0.35159999993084056769
16;reduction;100;0.30790000005254114512
17;critical_section;100;0.36760000011781812645
17;reduction;100;0.17709999997350678314
18;critical_section;100;0.37240000006022455636
18;reduction;100;0.39040000001477892511
19;critical_section;100;0.78650000000379804987
19;reduction;100;0.39519999995718535502
20;critical_section;100;0.46819999988656491041
20;reduction;100;0.39910000009513169061
21;critical_section;100;0.50799999985429167282
21;reduction;100;0.47760000006746849976
22;critical_section;100;0.55009999982758017723
22;reduction;100;0.44079999997848062776
23;critical_section;100;0.51389999998718849383
23;reduction;100;0.45030000001133885235
24;critical_section;100;0.52350000009937502909
24;reduction;100;0.47540000014123506844
25;critical_section;100;0.53380000008473871276
25;reduction;100;0.50429999987500195857
26;critical_section;100;0.54390000013881945051
26;reduction;100;0.51749999988714989740
27;critical_section;100;0.56880000011005904526
27;reduction;100;0.52510000000438594725
28;critical_section;100;0.57280000009996001609
28;reduction;100;0.54300000010698568076
29;critical_section;100;0.60559999997167324182
29;reduction;100;0.57190000006812624633
30;critical_section;100;0.62190000016926205717
30;reduction;100;0.57960000003731693141
31;critical_section;100;0.64510000015616242308
31;reduction;100;0.60660000008283532225
32;critical_section;100;0.65720000020519364625
32;reduction;100;0.68110000006527116057
1;single;100000;0.13289999992593948264
2;critical_section;100000;0.46790000010332732927
2;reduction;100000;0.10610000003907771315
3;critical_section;100000;0.08440000010523363017
3;reduction;100000;0.05770000007032649592
4;critical_section;100000;0.06510000002890592441
4;reduction;100000;0.04340000009506184142
5;critical_section;100000;0.08169999978235864546
5;reduction;100000;0.04579999995257821865
6;critical_section;100000;0.08279999997284903657
6;reduction;100000;0.04910000006930204108
7;critical_section;100000;0.07189999996626283973
7;reduction;100000;0.03360000005159236025
8;critical_section;100000;0.06860000007691269275
8;reduction;100000;0.02939999990303476807
9;critical_section;100000;0.07870000013099343050
9;reduction;100000;0.22009999997862905730
10;critical_section;100000;0.22170000011101365089
10;reduction;100000;0.23559999999633873813
11;critical_section;100000;0.25520000008327770047
11;reduction;100000;0.32929999997577397153
12;critical_section;100000;0.29119999999238643795
12;reduction;100000;0.28799999995499092620
13;critical_section;100000;0.35109999998894636519
13;reduction;100000;0.28280000015001860447
14;critical_section;100000;0.37629999997079721652
14;reduction;100000;0.30119999996713886503
15;critical_section;100000;0.37899999983892485034
15;reduction;100000;0.34400000004097819328
16;critical_section;100000;0.35580000007939815987
16;reduction;100000;0.32239999995908874553
17;critical_section;100000;0.38679999988744384609
17;reduction;100000;0.34780000009959621821
18;critical_section;100000;0.39160000005722395144
18;reduction;100000;0.20169999993413512129
19;critical_section;100000;0.39480000009461946320
19;reduction;100000;0.36369999997987179086
20;critical_section;100000;0.46680000014021061361
20;reduction;100000;0.39480000009461946320
21;critical_section;100000;0.43810000011035299394
21;reduction;100000;0.45460000001185107976
22;critical_section;100000;0.46010000005480833352
22;reduction;100000;0.43879999998353014234
23;critical_section;100000;0.52709999999933643267
23;reduction;100000;0.48080000010486401152
24;critical_section;100000;0.56070000005092879292
24;reduction;100000;0.52649999997811391950
25;critical_section;100000;0.56089999998221173882
25;reduction;100000;0.50280000004931935109
26;critical_section;100000;0.57489999994686513674
26;reduction;100000;0.54500000010193616617
27;critical_section;100000;0.58940000008078641258
27;reduction;100000;0.54359999990083451848
28;critical_section;100000;0.65150000000357977115
28;reduction;100000;0.55440000005546608008
29;critical_section;100000;0.60809999990851792973
29;reduction;100000;0.56210000002465676516
30;critical_section;100000;0.64090000000760483090
30;reduction;100000;0.66310000011071679182
31;critical_section;100000;0.70010000013098760974
31;reduction;100000;0.61240000013640383258
32;critical_section;100000;0.66959999981008877512
32;reduction;100000;0.33830000006673799362
1;single;100000000;124.21139999992192315403
2;critical_section;100000000;75.07229999987430346664
2;reduction;100000000;97.41459999986545881256
3;critical_section;100000000;48.04079999985333415680
3;reduction;100000000;60.55350000019643630367
4;critical_section;100000000;50.29029999991507793311
4;reduction;100000000;52.37280000005739566404
5;critical_section;100000000;41.01629999991018848959
5;reduction;100000000;44.57579999984773166943
